"gas_day","region_code","gas_cons_mcm","rec_added"
2023-08-25,AT,7.42,2023-09-05 18:11:36.544 +0300
2023-08-25,CZ,9.9614286,2023-08-27 02:58:00.000 +0300
2023-08-24,FR,55.62,2023-12-03 18:10:21.897 +0300
2023-08-24,CZ,14.0280952,2023-10-20 03:00:59.000 +0300
2023-08-24,AT,9.46,2023-09-04 18:11:36.980 +0300
2023-08-23,FR,57.19,2023-12-02 18:10:26.376 +0300
2023-08-23,CZ,7.9704762,2023-10-20 03:00:59.000 +0300
2023-08-23,AT,4.34,2023-09-03 18:11:33.862 +0300
2023-08-22,FR,57.69,2023-12-01 18:10:31.112 +0300
2023-08-22,CZ,12.0976191,2023-09-12 02:58:16.000 +0300
2023-08-22,AT,8.25,2023-09-02 18:11:22.474 +0300
2023-08-21,FR,51.19,2023-11-30 18:10:28.099 +0300
2023-08-21,CZ,6.5442857,2023-10-20 03:00:59.000 +0300
2023-08-21,AT,7.38,2023-09-01 18:11:37.180 +0300
2023-08-20,FR,37.59,2023-11-29 18:10:22.285 +0300
2023-08-20,CZ,13.4314286,2023-10-20 03:00:59.000 +0300
2023-08-20,AT,9.68,2023-08-31 18:11:36.320 +0300
2023-08-19,FR,36.68,2023-11-28 18:10:50.391 +0300
2023-08-19,CZ,9.5852381,2023-10-20 03:00:59.000 +0300
2023-08-19,AT,9.62,2023-08-30 18:11:30.608 +0300
2023-08-18,FR,42.99,2023-11-27 18:10:18.943 +0300
2023-08-18,CZ,3.6514285,2023-10-20 03:00:59.000 +0300
